CMDLINE python bst.py
MEM 73.296875 1683720353.7000
MEM 73.296875 1683720353.8022
MEM 73.406250 1683720353.9050
MEM 73.906250 1683720354.0053
MEM 74.214844 1683720354.1056
MEM 74.214844 1683720354.2064
MEM 74.214844 1683720354.3116
MEM 74.214844 1683720354.4135
MEM 74.214844 1683720354.5157
MEM 74.214844 1683720354.6187
MEM 74.214844 1683720354.7203
MEM 74.214844 1683720354.8220
MEM 74.214844 1683720354.9272
MEM 74.214844 1683720355.0324
MEM 74.214844 1683720355.1350
MEM 74.214844 1683720355.2374
MEM 74.214844 1683720355.3377
MEM 74.214844 1683720355.4387
MEM 74.214844 1683720355.5411
MEM 74.214844 1683720355.6449
MEM 74.214844 1683720355.7458
MEM 74.214844 1683720355.8489
MEM 74.214844 1683720355.9499
MEM 74.214844 1683720356.0551
MEM 74.214844 1683720356.1603
MEM 74.214844 1683720356.2605
MEM 74.214844 1683720356.3607
MEM 74.214844 1683720356.4626
MEM 74.214844 1683720356.5637
MEM 74.214844 1683720356.6687
MEM 74.214844 1683720356.7695
MEM 74.214844 1683720356.8742
MEM 74.214844 1683720356.9755
MEM 74.214844 1683720357.0800
MEM 74.214844 1683720357.1847
MEM 74.214844 1683720357.2852
MEM 74.214844 1683720357.3905
MEM 74.214844 1683720357.4917
MEM 74.214844 1683720357.5952
MEM 74.214844 1683720357.6974
MEM 74.214844 1683720357.7976
MEM 74.214844 1683720357.8982
MEM 74.214844 1683720358.0016
MEM 74.214844 1683720358.1022
MEM 74.214844 1683720358.2045
MEM 74.214844 1683720358.3091
MEM 74.214844 1683720358.4126
MEM 74.214844 1683720358.5128
MEM 74.214844 1683720358.6138
MEM 74.214844 1683720358.7160
MEM 74.214844 1683720358.8185
MEM 74.214844 1683720358.9190
MEM 74.214844 1683720359.0208
MEM 74.214844 1683720359.1215
MEM 74.214844 1683720359.2223
MEM 74.214844 1683720359.3229
MEM 74.214844 1683720359.4261
MEM 74.214844 1683720359.5298
MEM 74.214844 1683720359.6338
MEM 74.214844 1683720359.7353
MEM 74.214844 1683720359.8360
MEM 74.214844 1683720359.9390
MEM 74.214844 1683720360.0392
MEM 74.214844 1683720360.1410
MEM 74.214844 1683720360.2414
MEM 74.214844 1683720360.3425
MEM 74.214844 1683720360.4427
MEM 74.214844 1683720360.5464
MEM 74.214844 1683720360.6483
MEM 74.214844 1683720360.7521
MEM 74.214844 1683720360.8526
MEM 74.214844 1683720360.9533
MEM 74.214844 1683720361.0537
MEM 74.214844 1683720361.1552
MEM 74.214844 1683720361.2556
MEM 74.214844 1683720361.3570
MEM 74.214844 1683720361.4580
MEM 74.214844 1683720361.5582
MEM 74.214844 1683720361.6599
MEM 74.214844 1683720361.7625
MEM 74.214844 1683720361.8660
MEM 74.214844 1683720361.9689
MEM 74.214844 1683720362.0691
MEM 74.214844 1683720362.1707
MEM 74.214844 1683720362.2739
MEM 74.214844 1683720362.3756
MEM 74.214844 1683720362.4770
MEM 74.214844 1683720362.5809
MEM 74.214844 1683720362.6852
MEM 74.214844 1683720362.7897
MEM 74.214844 1683720362.8931
MEM 74.214844 1683720362.9964
MEM 74.214844 1683720363.0971
MEM 74.214844 1683720363.1986
MEM 74.214844 1683720363.2992
MEM 74.214844 1683720363.4032
MEM 74.214844 1683720363.5054
MEM 74.390625 1683720363.6064
MEM 74.390625 1683720363.7108
MEM 74.390625 1683720363.8120
MEM 74.390625 1683720363.9158
MEM 74.390625 1683720364.0193
MEM 74.390625 1683720364.1199
MEM 74.402344 1683720364.2214
MEM 74.402344 1683720364.3266
MEM 74.402344 1683720364.4286
MEM 74.402344 1683720364.5322
MEM 74.402344 1683720364.6374
MEM 74.402344 1683720364.7425
MEM 74.402344 1683720364.8456
MEM 74.402344 1683720364.9508
MEM 74.402344 1683720365.0560
MEM 74.402344 1683720365.1613
MEM 74.402344 1683720365.2646
MEM 74.792969 1683720365.3677
MEM 75.199219 1683720365.4714
MEM 75.199219 1683720365.5759
MEM 75.199219 1683720365.6761
MEM 75.199219 1683720365.7768
MEM 75.199219 1683720365.8777
MEM 75.199219 1683720365.9787
MEM 75.199219 1683720366.0823
MEM 75.199219 1683720366.1861
MEM 75.199219 1683720366.2911
MEM 75.199219 1683720366.3924
MEM 75.199219 1683720366.4930
MEM 75.199219 1683720366.5954
MEM 75.199219 1683720366.6996
